Year,Albania,Argentina,Armenia,Australia,Austria,Azerbaijan,Belarus,Bolivia,Bosnia and Herzegovina,Botswana,Bulgaria,Cambodia,Canada,Cape Verde,Costa Rica,Croatia,Czech Republic,Denmark,Djibouti,Dominican Republic,Ecuador,Egypt,El Salvador,Estonia,Finland,France,Gambia,Georgia,Germany,Ghana,Greece,Guatemala,Guinea,Guinea Bissau,Guyana,Haiti,Honduras,Hungary,Iceland,Indonesia,Ireland,Italy,Jamaica,Japan,Jordan,Kenya,Kyrgyzstan,Latvia,Lebanon,Lesotho,Lithuania,Macedonia,Malawi,Malaysia,Mauritania,Mauritius,Mexico,Mongolia,Morocco,Netherlands,New Zealand,Nicaragua,Norway,Pakistan,Paraguay,Peru,Philippines,Poland,Portugal,Romania,Sierra Leone,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Swaziland,Sweden,Switzerland,Tajikistan,Thailand,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Uganda,Ukraine,United Kingdom,United States,Uruguay,Venezuela,Vietnam,Yemen,Zambia
2010,7.895520803,0.394814663,39.70560418,0.08780325,0.040752696,0.039388702,0.04167398,0.460033924,0.081947364,0.521371926,0.079644892,60.16299483,0.043659206,4.286874519,24.94657243,0.315880613,1.903671071,0.305020743,8.85E-07,1.718254228,0.000158574,0.114929716,0.002228212,0.040752696,0.040752696,0.040752696,2.357487102,0.117830722,0.040752696,0.257115759,0.040752696,0.268274599,465.1947295,26.89628106,1.533453347,1.315512183,0.001374369,17.11126932,28.1742682,561.523636,0.040752696,0.040752696,10.55653256,13.40861018,0.000439563,5.033524431,3.906842846,0.040752696,4.346782614,0.69733276,0.040752696,2.55974459,5.311779233,0.172065465,12.57871128,1.334112169,1.211098159,127.8178385,0.37674659,0.040752696,0.101398809,1.567612625,0.29006786,11.61322555,462.2478526,0.170127837,2.653570263,0.30059052,0.040752696,0.330678471,,0.085564459,0.040752696,0.040752696,0.69733276,144.882373,0.040752696,0.69733276,0.412963275,0.087981029,0.492721297,2.17536962,0.026832426,0.07833717,0.118663537,0.920137067,205.3017061,1.564549505,0.065737065,0.07733046,1.658133511,0.960346475,1366.49199,9.150685694,0.626253649
2011,8.339590576,0.453671993,28.97019172,0.120731202,0.026641313,0.027117107,0.136729461,0.353385346,0.054594597,0.362285372,0.052075629,62.96914517,0.054950034,2.369464475,26.06761834,0.216079635,1.240468243,0.196999634,8.85E-07,2.002517908,0.000158574,0.192222097,0.002112792,0.026641313,0.026641313,0.026641313,2.448653531,0.105828437,0.026641313,0.261328722,0.026641313,0.241070808,1007.991849,17.42110833,0.533574164,1.440724504,0.002428849,15.86935643,25.83586245,640.866318,0.026641313,0.026641313,9.041639584,14.68566476,0.000338327,8.461110045,4.565435138,0.026641313,4.318744071,0.604817367,0.026641313,1.681769678,7.664955833,0.182834231,14.72701689,1.547450421,1.101288992,118.7559787,0.248367536,0.026641313,0.12623175,1.573006451,0.282167157,11.01465285,374.6073349,0.146122612,1.67736894,0.28545506,0.026641313,0.347212857,,0.095069193,0.026641313,0.026641313,0.604817367,124.5109425,0.026641313,0.604817367,0.477350796,0.112875743,0.548098669,1.721815374,0.053488041,0.086083898,0.16870214,0.784586232,338.770691,1.523001303,0.064949561,0.050990195,1.688655051,1.17617942,1901.200054,9.574268527,0.564353816
2012,9.47507526,0.513321584,35.51355645,0.139377332,0.036467973,0.014297318,0.257509754,0.112426547,0.073499754,0.340552763,0.071181099,66.01704488,0.06085895,3.707016104,28.21493556,0.330630714,1.069658459,0.269312785,8.85E-07,1.858453603,0.000158574,0.276708139,0.00181702,0.036467973,0.036467973,0.036467973,3.163197379,0.105769419,0.036467973,0.274260504,0.036467973,0.224428152,1130.864995,24.11915164,0.827429084,0.978149899,0.196397491,19.05840227,14.28328966,623.9208266,0.036467973,0.036467973,6.548866529,9.787547183,0.000317193,7.185236808,4.145614209,0.036467973,2.532672954,0.536037746,0.036467973,2.278619981,47.34335415,0.193531215,19.98929809,1.475953882,0.901174916,103.6930008,0.340398031,0.036467973,0.148946709,1.652934696,0.283692273,8.292746066,317.7749725,0.147114117,2.164391538,0.318966769,0.036467973,0.338590731,,0.092495625,0.036467973,0.036467973,0.536037746,70.42276665,0.036467973,0.536037746,0.476698798,0.090361898,0.524136247,1.607197341,0.060667963,0.120020552,0.18397951,0.238513918,336.5171836,1.15978253,0.039292421,0.068410526,1.196335279,1.17617942,1852.265088,8.74961105,0.541840001
2013,4.987074912,0.717764543,20.04714073,0.127957935,0.025805469,0.010042456,0.289073386,0.053371827,0.050683004,0.689638237,0.050499329,71.5169877,0.059179074,2.543497245,30.71118436,0.236053136,0.800449839,0.191931117,0.009372852,2.25448454,0.000158574,0.533132479,0.000633098,0.025805469,0.025805469,0.025805469,2.979389722,0.053279146,0.025805469,0.28761572,0.025805469,0.16423166,958.277479,17.04883528,2.297107178,1.289844829,0.538644502,11.01908428,3.564566136,797.7002653,0.025805469,0.025805469,5.778474594,8.169588657,0.000298352,4.800315289,2.000031523,0.025805469,2.666638346,1.014295417,0.025805469,1.591626243,96.90220225,0.18735498,13.85452773,1.236117252,0.439911378,100.4772931,0.239573823,0.025805469,0.158634848,1.736435502,0.261890411,7.994141561,322.3412581,0.139201707,2.324429613,0.105837265,0.025805469,0.181106656,,0.091252437,0.025805469,0.025805469,1.014295417,72.6087391,0.025805469,1.014295417,0.497078117,0.084541586,0.257707268,1.53169497,0.044124952,0.114413844,0.16983179,0,245.0661417,0.087220214,0.010442609,0.043358967,1.171200732,1.409226432,1374.351406,6.16667972,0.239024042
2014,2.724416158,1.756634105,21.17934511,0.071352124,0.021865742,0.008201521,0.294985988,0.043857398,0.042930914,0.974339666,0.042684887,66.40827882,0.047389935,2.375988161,16.86374264,0.205229294,1.180791271,0.162125636,0.04756018,2.69722492,0.000158574,0.625050323,0.002478781,0.021865742,0.021865742,0.021865742,5.010022487,0.062001364,0.021865742,0.665878526,0.021865742,0.130906643,603.3588209,13.94967413,2.622196916,2.192156236,0.739967371,13.37581902,3.866237656,1278.463781,0.021865742,0.021865742,10.84482812,11.80204174,0.000286962,3.719695823,3.332782607,0.021865742,3.311394071,1.589496547,0.021865742,1.345266497,122.7976777,0.093242063,9.078151575,0.969321047,0.35883106,219.2538758,0.201546598,0.021865742,0.072555892,1.823811592,0.301728371,7.798031836,213.2352178,0.085026715,1.242177752,0.111615764,0.021865742,0.163324773,,0.047257006,0.021865742,0.021865742,1.589496547,38.66090093,0.021865742,1.589496547,0.307133129,0.058592262,0.214577674,0.795096702,0.027116444,0.126033459,0.255428031,0,167.3129695,1.887062772,0.015601042,0.035777088,1.568411042,1.050087129,820.7407152,1.951390054,0.561151806
2015,9.981639857,2.326984626,38.49973115,0.157118734,0.073154611,0.126767638,0.395753727,0.020413632,0.142920225,1.289094358,0.142885807,18.29193766,0.124532819,8.095657955,19.10851773,0.588804486,2.660942536,0.548334332,0.170686555,2.861519127,0.000158574,0.737847339,0.003891432,0.073154611,0.073154611,0.073154611,5.469504672,0.271726368,0.073154611,0.944262212,0.073154611,0.081167605,222.2264973,48.67364909,2.578310978,4.403293866,1.176093457,29.35033526,6.599267831,1900.133974,0.073154611,0.073154611,13.59495339,17.7698139,0.000280401,5.564034838,7.843806939,0.073154611,2.107660004,2.237224245,0.073154611,4.407827182,139.2175961,0.363677382,10.55546594,2.496518269,1.390057386,298.4011773,0.660239704,0.073154611,0.097519742,1.910418976,1.037469739,6.984055096,413.5053753,0.221353289,1.433984645,0.30769935,0.073154611,0.362998284,,0.055800879,0.073154611,0.073154611,2.237224245,30.76981346,0.073154611,2.237224245,0.832106813,0.029943372,0.65726325,1.612217755,0.019654857,0.209306871,0.425408852,0.290688837,317.4715668,6.095120083,0.018071471,0.106770783,3.343319107,1.065800029,489.5634663,0.179111571,1.597219051
2016,10.43736318,4.099883614,38.32877329,0.173841989,0.079700782,0.364228556,0.506676925,0.009422255,0.155746516,1.311067579,0.155772286,21.57395615,0.147407162,8.805559467,21.93348549,0.601289277,2.596364642,0.593779168,0.242442546,2.691960269,0.000158574,1.573534231,0.006051833,0.079700782,0.079700782,0.079700782,4.853957389,0.353143289,0.079700782,0.965529344,0.079700782,0.108449759,621.6198971,54.64443861,2.404534201,9.066413859,1.427258203,29.86384763,5.754747195,1755.913083,0.079700782,0.079700782,14.40357991,15.19415806,0.000293364,7.775599142,10.46994723,0.079700782,3.013934974,2.524750879,0.079700782,4.854876398,174.0400598,0.48407074,25.77851612,2.704946644,2.51499238,324.9908546,0.72551486,0.079700782,0.119128153,1.976009332,1.24748076,4.2333546,597.696865,0.319449053,2.276405033,0.375466351,0.079700782,0.369764154,,0.068600866,0.079700782,0.079700782,2.524750879,40.50069826,0.079700782,2.524750879,1.001691431,0.029546298,1.349892993,1.975929919,0.118754576,0.252841893,0.53348206,0.356019662,432.1697967,8.193893421,0.053735523,0.114367828,4.33519812,1.825715588,642.6069853,11.72933699,2.252498724
2017,9.916234707,4.710046985,36.58651931,0.139092709,0.078720199,0.452739616,0.507211456,0.009247108,0.153872311,0.998752569,0.153882151,19.94809455,0.12970546,8.873767469,24.88204195,0.573497139,2.263701646,0.583840258,0.740059637,2.20737435,0.000158574,4.57740733,0.0064247,0.078720199,0.078720199,0.078720199,4.354485319,0.380020636,0.078720199,0.908616102,0.078720199,0.188004889,927.4171598,54.35940697,0.764003527,10.37381181,1.454246729,27.22112115,9.409739938,1276.702313,0.078720199,0.078720199,11.1849544,8.353726559,0.000296003,7.935375013,9.750507876,0.078720199,1.98391077,1.940340097,0.078720199,4.78241563,165.4694673,0.506510767,31.34319236,2.434443706,2.852939143,341.3186364,0.729321702,0.078720199,0.115257846,2.088525768,1.171647935,1.853795379,634.1565667,0.280478389,3.003175048,0.364361239,0.078720199,0.383228267,1307.777555,0.063984798,0.078720199,0.078720199,1.940340097,40.65926082,0.078720199,1.940340097,0.995351741,0.031859043,1.710697225,1.714579553,0.181170094,0.327064223,0.681095509,0.356019662,476.4517054,8.333003043,0.070092836,0.117132404,3.951412553,1.918803838,721.3271565,17.1350608,2.133019725
2018,9.280596069,8.381488153,28.11463827,0.0999283,0.061479446,0.428008738,0.420251665,0.005354989,0.119916638,0.678819848,0.120161837,14.38415083,0.087464717,6.960413171,19.47613757,0.450800269,1.665580668,0.456792837,0.729586177,2.345769906,0.000158574,5.304605533,0.006435614,0.061479446,0.061479446,0.061479446,3.525844023,0.311461918,0.061479446,0.608868845,0.061479446,0.143882722,937.2852227,42.53676854,0.603444971,9.855685047,1.360990025,19.15725657,10.50337974,862.4026805,0.061479446,0.061479446,7.718580415,5.495352727,0.000316612,6.095379529,6.776344152,0.061479446,2.172954146,1.338298801,0.061479446,3.768446228,143.8297922,0.387387325,29.6404095,1.94556854,2.522406864,286.905593,0.565973955,0.061479446,0.100571342,2.24643096,0.838466236,8.681511338,524.1822098,0.204285718,3.401575605,0.289887709,0.061479446,0.295274348,1742.10749,0.0467697,0.061479446,0.061479446,1.338298801,40.18671904,0.061479446,1.338298801,0.747068609,0.027299202,1.739936149,1.244098789,0.206186742,0.372856819,1.018001778,0.290688837,439.9370755,6.23187664,0.070418503,0.092843955,2.949500407,64777.99238,710.7053656,18.03583532,1.757081728
2019,8.255497129,15.92358852,2.129947557,0.050375775,0.023984424,0.279107134,0.186605675,0.005288109,0.044084827,0.312362842,0.046813152,11.25816605,0.015426596,2.358778338,21.58760334,0.23848218,1.20270551,0.180508746,0.698175973,2.629751244,0.000158574,4.738916345,0.006034911,0.023984424,0.023984424,0.023984424,3.878202509,0.207877802,0.023984424,0.648986352,0.023984424,0.140299405,727.9430213,15.33788782,0.601964377,14.44887646,1.01896006,8.197328948,10.84089773,430.7093084,0.023984424,0.023984424,5.91394015,5.020959936,0.000210192,1.689640967,2.304490099,0.023984424,2.083207463,0.744515729,0.023984424,1.44696473,97.26300861,0.129251229,20.28814436,0.740547099,1.39836702,272.9718023,0.167585469,0.023984424,0.04120403,2.394973071,0.277222535,20.28461721,362.3838181,0.068131394,2.906750317,0.121559358,0.023984424,0.112141745,2027.069065,0.013155791,0.023984424,0.023984424,0.744515729,27.09150962,0.023984424,0.744515729,0.421843949,0.010897593,1.311921989,1.727549322,0.174435282,0.379834923,1.243160942,0,199.0852367,1.994713427,0.049673834,0.029154759,3.038873659,113790.1559,510.2571166,15.24190837,1.58302715
