Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Italy,7.022741667,7.28775,6.536508333,5.83035,5.506166667,5.313935,5.621779167,6.3347,6.83731,4.756666667,4.031666667,4.599166667,5.2225,5.144166667,4.866666667,4.12925,3.496166667,3.000833333,2.68,2.6025,2.328333333
Jamaica,23.34833333,20.6075,18.50166667,18.88666667,18.1375,17.36083333,17.6425,17.1975,16.82583333,16.4320116,20.4544536,19.50927929,17.62827224,17.71645756,17.21700864,16.97650582,16.48852712,14.90512194,14.09407373,12.99845527,12.06137876
Jordan,11.79916667,10.93583333,10.17916667,9.296666667,8.256666667,7.606666667,8.178333333,8.676666667,9.0275,9.246666667,9.024166667,8.713333333,8.780833333,9.01,8.99,8.476666667,8.115,8.393333333,8.661666667,8.665,7.480833333
Japan,2.067166667,1.969416667,1.864916667,1.822083333,1.766583333,1.676916667,1.664833333,1.88325,1.9095,1.723333333,1.598333333,1.500916667,1.4075,1.30375,1.219166667,1.142833333,1.04475,0.994,,,
Kenya,22.33916667,19.66583333,18.45333333,16.57333333,12.53166667,12.8825,13.63553391,13.34034368,14.01693938,14.80454124,14.3715,15.04675999,19.72340665,17.31345769,16.51393071,16.08661379,16.55963065,13.66757252,13.06075884,12.44113289,11.99578462
Cambodia,,,,,,,,,,,,,,,,,,,,,
Lebanon,18.15083333,17.18916667,16.5825,13.43166667,10.80833333,10.64,10.26,10.25583333,9.964166667,9.568333333,8.336666667,7.5275,7.249166667,7.348333333,7.274166667,7.090833333,8.350833333,8.293333333,9.095,10.51333333,
Lesotho,17.11166667,16.55416667,17.11,16.015,12.375,11.71666667,12.16083333,14.13166667,16.18694444,13,11.2225,10.42916667,10.11916667,9.92,10.33944444,10.57,11.57583333,11.58083333,11.35416667,11.33358333,8.975555556
Lithuania,,,,,,,,,,,,,,,,,,,,,
Latvia,,,,,,,,,,,,,,,,,,,,,
Morocco,,,,,,,,,,,,,,,,,,,,,
Mexico,16.92833333,12.795,8.210833333,7.0225,7.438333333,9.695,7.511834781,7.560833333,8.705767857,7.065,5.280833333,4.910833333,4.680833333,4.270833333,3.551666667,3.439166667,4.754166667,7.3325,8.04,8.429166667,6.341666667
Mauritania,25.58333333,22.5,21,21,21,23.08333333,24,23.5,20.33333333,19.5,17,17,17,17,17,17,17,17,,,
Mauritius,20.77083333,21.10416667,21,21,21,21.04166667,21.08333333,21.87416667,11.54166667,9.25,8.875,8.916666667,8.666666667,8.5,8.5,8.5,8.5,8.5,8.5,8.45,7.225
