Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Ireland,62.53,62.44,62.58,62.79,63.07,65.11,65.86,66.45,65.82,64.2,62.95,62.33,62.04,62.39,62.18,62.15,62.4,62.2,62.36,62.45,61.38
Iceland,78.37,78.09,77.01,76.78,76.38,75.77,76.62,76.72,76.07,74.64,74.9,74.31,74.35,75.09,76.27,77.02,77.75,76.64,75.29,74.35,73.09
Italy,47.72,47.9,48.34,48.75,49.52,48.95,48.89,48.61,48.93,48.29,48.03,47.97,48.9,48.56,48.82,48.74,49.28,49.61,49.71,49.72,48.4
Jamaica,66.91,66.38,65.83,65.26,65.02,64.72,64.42,64.12,63.83,63.53,63.23,63.03,62.82,63.95,63.94,64.33,65.7,66.55,65.84,66.66,64.2
Jordan,42.02,41.93,41.53,40.9,40.91,40.89,40.65,42.01,41.72,42.53,41.79,41.14,40.28,39.25,39.26,39.29,39.36,39.41,39.45,39.48,37.89
Japan,62.59,62.24,61.55,61.17,60.71,60.61,60.53,60.7,60.58,60.37,60.08,59.59,59.28,59.61,59.82,59.99,60.45,60.87,61.88,62.36,62.34
Kenya,71.04,69.96,68.8,67.6,66.37,65.12,66.29,67.47,68.61,69.68,70.64,71.52,72.32,73.04,73.73,74.39,75.03,74.78,74.5,74.24,71.89
Cambodia,78.8,83.54,82.87,81.94,80.58,80.99,81.42,81.78,82.17,82.56,85.23,85.87,83.45,80.76,80.66,80.33,82.36,82.25,82.16,82.04,79.35
Lebanon,46.21,46.59,46.97,47.3,47.38,47.56,47.63,47.67,47.26,46.83,46.54,46.69,46.78,46.76,46.74,46.79,46.85,46.91,47.1,47.5,45.32
Lesotho,73.61,72.93,72.28,71.65,71.05,70.48,69.98,69.51,69.06,68.63,68.22,68.02,67.81,67.57,67.66,67.67,67.72,67.82,67.87,67.9,66.65
Lithuania,60.12,58.73,58.18,60.15,57.14,56.18,55.24,55.58,55.91,56.66,56.96,57.85,58.16,58.28,59.11,59.26,60.55,60.91,61.76,61.99,62.03
Latvia,56.05,56.33,57.8,56.96,57.25,57.26,59.01,60.2,61.49,60.09,58.99,58.61,59.75,59.35,59.23,60.06,60.62,61.21,61.78,61.42,61.83
Morocco,50.3,50.26,49.98,50.51,50.72,50.52,50.21,50.05,49.79,49.8,49.82,49.82,49.18,48.82,48.01,47.17,46.35,45.49,45.43,45.37,42.63
